unixTimeFrame,totHtSum,relHtSum
1415402100000,63,39
1415401200000,180,109
1415400300000,226,150
1415399400000,252,181
1415398500000,299,208
1415397600000,359,242
1415396700000,379,219
1415395800000,379,208
1415394900000,381,217
1415394000000,353,210
1415393100000,282,179
1415392200000,298,178
1415391300000,308,172
1415390400000,299,147
1415389500000,344,218
1415388600000,374,248
1415387700000,349,246
1415386800000,364,278
1415385900000,357,240
1415385000000,313,213
1415384100000,332,217
1415383200000,349,226
1415382300000,351,218
1415381400000,363,228
1415380500000,351,227
1415379600000,311,197
1415378700000,299,194
1415377800000,319,193
1415376900000,282,164
1415376000000,294,167
1415375100000,298,180
1415374200000,268,136
1415373300000,264,144
1415372400000,339,197
1415371500000,323,178
1415370600000,337,210
1415369700000,360,248
1415368800000,282,189
1415367900000,250,181
1415367000000,234,172
1415366100000,206,133
1415365200000,227,129
1415364300000,266,139
1415363400000,303,177
1415362500000,307,182
1415361600000,292,194
1415360700000,271,219
1415359800000,273,233
1415358900000,76,63
