unixTimeFrame,totHtSum,relHtSum
1415547900000,231,182
1415547000000,271,196
1415546100000,248,165
1415545200000,231,135
1415544300000,226,118
1415543400000,214,122
1415542500000,240,135
1415541600000,233,131
1415540700000,248,159
1415539800000,290,183
1415538900000,271,160
1415538000000,246,158
1415537100000,251,184
1415536200000,246,187
1415535300000,264,200
1415534400000,273,201
1415533500000,232,160
1415532600000,219,153
1415531700000,222,165
1415530800000,247,209
1415529900000,258,221
1415529000000,243,215
1415528100000,224,208
1415527200000,185,174
1415526300000,175,158
1415525400000,204,175
1415524500000,225,192
1415523600000,215,185
1415522700000,192,167
1415521800000,161,140
1415520900000,120,95
1415520000000,86,59
1415519100000,67,40
1415518200000,75,53
1415517300000,54,48
1415516400000,43,39
1415515500000,41,38
1415514600000,21,16
1415513700000,3,0
1415512800000,5,2
1415511900000,13,8
1415511000000,19,12
1415510100000,23,17
1415509200000,27,21
1415508300000,26,20
1415507400000,16,16
1415506500000,24,16
1415505600000,20,11
1415504700000,8,5
