unixTimeFrame,totHtSum,relHtSum
1415363400000,207,124
1415362500000,307,182
1415361600000,292,194
1415360700000,271,219
1415359800000,273,233
1415358900000,229,192
1415358000000,236,194
1415357100000,228,183
1415356200000,183,127
1415355300000,197,137
1415354400000,187,126
1415353500000,210,145
1415352600000,241,187
1415351700000,262,225
1415350800000,302,264
1415349900000,298,262
1415349000000,275,240
1415348100000,232,199
1415347200000,139,116
1415346300000,107,96
1415345400000,84,78
1415344500000,58,58
1415343600000,49,49
1415342700000,38,38
1415341800000,32,32
1415340900000,15,15
1415340000000,7,7
1415339100000,6,6
1415338200000,3,3
1415337300000,3,3
1415336400000,3,3
1415335500000,3,3
1415334600000,3,3
1415333700000,0,0
1415332800000,2,2
1415331900000,8,8
1415331000000,12,12
1415330100000,12,12
1415329200000,13,13
1415328300000,11,11
1415327400000,15,15
1415326500000,19,19
1415325600000,21,21
1415324700000,23,21
1415323800000,28,25
1415322900000,26,23
1415322000000,39,36
1415321100000,73,67
1415320200000,31,29
