unixTimeFrame,totHtSum,relHtSum
1415435400000,106,94
1415434500000,143,123
1415433600000,103,86
1415432700000,76,72
1415431800000,81,78
1415430900000,65,60
1415430000000,67,61
1415429100000,69,63
1415428200000,53,47
1415427300000,49,47
1415426400000,32,32
1415425500000,19,19
1415424600000,18,18
1415423700000,8,8
1415422800000,1,0
1415421900000,9,0
1415421000000,9,0
1415420100000,10,1
1415419200000,15,3
1415418300000,8,3
1415417400000,6,3
1415416500000,9,3
1415415600000,4,0
1415414700000,8,1
1415413800000,12,3
1415412900000,13,6
1415412000000,17,7
1415411100000,25,16
1415410200000,32,26
1415409300000,53,47
1415408400000,75,71
1415407500000,102,90
1415406600000,147,97
1415405700000,150,88
1415404800000,135,67
1415403900000,120,50
1415403000000,100,53
1415402100000,90,54
1415401200000,180,109
1415400300000,226,150
1415399400000,252,181
1415398500000,299,208
1415397600000,359,242
1415396700000,379,219
1415395800000,379,208
1415394900000,381,217
1415394000000,353,210
1415393100000,282,179
1415392200000,96,58
