unixTimeFrame,totHtSum,relHtSum
1415201400000,188,171
1415200500000,184,166
1415199600000,196,175
1415198700000,200,184
1415197800000,206,199
1415196900000,236,233
1415196000000,254,253
1415195100000,266,262
1415194200000,274,268
1415193300000,252,230
1415192400000,237,197
1415191500000,255,202
1415190600000,258,177
1415189700000,276,191
1415188800000,269,197
1415187900000,250,173
1415187000000,219,162
1415186100000,167,119
1415185200000,164,111
1415184300000,138,102
1415183400000,101,73
1415182500000,82,64
1415181600000,47,41
