participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 6, 1, 2, 1, 1, 1, 4, 4, 2, 2, 9, 10
David Riondino, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Romana Petri, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4
Aldo Cazzullo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Beppe Severgnini, 8, 2, 2, 4, 1, 1, 4, 6, 1, 1, 5, 2
Enrico Mentana, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Marino Sinibaldi, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2
Mauro Tedeschini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Pietrangelo Buttafuoco, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
