participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Beppe Severgnini, 18, 10, 21, 13, 7, 5, 5, 4, 1, 3, 7, 7
Anna Masera, 1, 2, 5, 2, 3, 3, 1, 1, 1, 1, 4, 4
Dario Franceschini, 5, 3, 3, 3, 2, 1, 1, 2, 5, 1, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Arianna Ciccone, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Bruno Tognolini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 9, 9, 9, 9, 9, 9, 9, 9, 9, 2, 2, 2
Mauro Tedeschini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
