participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 4, 1, 3, 9, 8, 3, 9, 2, 1, 2, 4, 8
Beppe Severgnini, 5, 5, 4, 1, 1, 1, 2, 3, 5, 8, 3, 6
Massimiliano Panarari, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6
Massimo Mantellini, 3, 5, 5, 1, 1, 1, 1, 1, 5, 5, 5, 5
Alessandro Perissinotto, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Marino Sinibaldi, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 4, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2
Arianna Ciccone, 2, 10, 10, 10, 10, 5, 5, 2, 2, 2, 2, 2
Bruno Tognolini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
