participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Beppe Severgnini, 2, 4, 5, 3, 3, 1, 1, 1, 1, 10, 9, 7
Marino Sinibaldi, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5
Silvia Ballestra, 1, 5, 11, 2, 3, 3, 3, 3, 3, 2, 6, 4
Anna Masera, 3, 3, 1, 2, 2, 2, 2, 2, 1, 1, 3, 3
Dario Franceschini, 1, 1, 1, 1, 1, 2, 3, 3, 1, 1, 1, 3
Massimo Mantellini, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3
Walter Passerini, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Alessandro Perissinotto, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
