participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 0, 0, 1, 7, 1, 4, 6, 2, 4, 18, 7, 8
Andrea Iannuzzi, 0, 0, 0, 0, 0, 3, 3, 4, 4, 4, 4, 4
Luca Sofri, 0, 0, 2, 2, 2, 3, 4, 2, 2, 2, 2, 4
Enrico Mentana, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3
Massimo Mantellini, 0, 0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 3
Pietrangelo Buttafuoco, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2
Sonia Peronaci, 0, 0, 0, 1, 2, 1, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Anna Masera, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1
Arianna Ciccone, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1
