participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 5, 2, 2, 11, 6, 11, 26, 23, 15, 13, 17, 15
Anna Masera, 3, 3, 1, 3, 1, 2, 1, 2, 2, 2, 2, 6
Luca Sofri, 1, 4, 6, 1, 4, 6, 8, 5, 4, 4, 1, 4
Marino Sinibaldi, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 4
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Massimo Mantellini, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
