participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 13, 17, 15, 6, 2, 9, 11, 5, 7, 6, 14, 33
Beppe Severgnini, 2, 2, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5
Luca Sofri, 4, 1, 4, 3, 4, 5, 6, 4, 1, 4, 5, 5
Marino Sinibaldi, 1, 10, 4, 5, 5, 5, 2, 2, 7, 2, 4, 4
Massimo Mantellini, 3, 3, 3, 1, 2, 1, 1, 1, 4, 4, 4, 4
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Samuele Bersani, 1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Bruno Tognolini, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2
