participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Francesco Piccolo, 2, 2, 2, 2, 9, 9, 9, 9, 9, 9, 9, 9
Dario Franceschini, 1, 5, 3, 1, 3, 1, 1, 11, 9, 1, 1, 6
David Riondino, 2, 2, 2, 2, 6, 5, 5, 5, 5, 5, 5, 5
Beppe Severgnini, 1, 1, 1, 2, 4, 4, 1, 1, 1, 1, 1, 4
Massimo Mantellini, 1, 1, 1, 1, 7, 5, 5, 7, 5, 2, 4, 4
Silvia Ballestra, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4
Luca Sofri, 13, 5, 3, 3, 5, 3, 3, 2, 2, 3, 2, 3
Romana Petri, 4, 4, 4, 4, 4, 4, 4, 4, 1, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 2
