participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
David Riondino, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Enrico Mentana, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Marino Sinibaldi, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Arianna Ciccone, 2, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3
Sonia Peronaci, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Aldo Cazzullo, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2
Andrea Iannuzzi, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2
Beppe Severgnini, 1, 1, 8, 3, 1, 2, 4, 2, 3, 2, 2, 2
Dario Franceschini, 2, 2, 2, 3, 3, 1, 1, 1, 1, 3, 3, 2
