participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Luca Sofri, 6, 1, 3, 3, 1, 1, 3, 3, 1, 1, 3, 4
Dario Franceschini, 2, 2, 2, 1, 1, 1, 1, 6, 1, 1, 3, 3
Massimo Mantellini, 1, 4, 3, 3, 2, 2, 6, 6, 1, 1, 4, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Alessandro Perissinotto, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 1, 1, 3, 2, 2, 2, 2, 5, 5, 2, 3, 2
Arianna Ciccone, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2
Beppe Severgnini, 6, 12, 4, 6, 4, 5, 5, 1, 1, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
