participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 4, 8, 4, 15, 17, 2, 3, 4, 1, 2, 1, 5
Pietrangelo Buttafuoco, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5
Sonia Peronaci, 3, 1, 1, 1, 1, 1, 1, 1, 4, 2, 4, 4
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Arianna Ciccone, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 1, 1, 1, 4, 4, 2, 2, 2, 4, 5, 5, 2
Daria Bignardi, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
