participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Sonia Peronaci, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4
Andrea Iannuzzi, 2, 2, 2, 4, 2, 1, 4, 7, 2, 2, 2, 3
Enrico Mentana, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3
Luca Sofri, 4, 4, 6, 2, 2, 1, 6, 2, 2, 2, 3, 3
Massimiliano Panarari, 0, 0, 0, 1, 1, 1, 4, 3, 3, 3, 3, 3
Walter Passerini, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Daria Bignardi, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2
Dario Franceschini, 9, 4, 1, 4, 4, 3, 3, 3, 2, 2, 2, 2
Marino Sinibaldi, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2
Massimo Mantellini, 5, 5, 5, 2, 2, 1, 4, 6, 6, 6, 6, 2
