participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Arianna Ciccone, 1, 1, 1, 1, 1, 2, 3, 5, 6, 4, 1, 6
Luca Sofri, 2, 2, 2, 2, 4, 4, 4, 6, 2, 2, 1, 6
Andrea Iannuzzi, 4, 4, 4, 4, 4, 2, 2, 2, 4, 2, 1, 4
Anna Masera, 1, 1, 1, 1, 1, 4, 2, 2, 5, 3, 1, 4
Beppe Severgnini, 2, 2, 2, 1, 1, 1, 2, 4, 4, 4, 4, 4
Massimiliano Panarari, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4
Massimo Mantellini, 1, 3, 3, 3, 3, 5, 5, 5, 2, 2, 1, 4
Dario Franceschini, 2, 4, 18, 7, 8, 9, 4, 1, 4, 4, 3, 3
Enrico Mentana, 1, 1, 1, 2, 3, 3, 3, 3, 1, 3, 3, 3
Samuele Bersani, 0, 0, 0, 1, 1, 1, 1, 3, 3, 3, 3, 3
