participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Arianna Ciccone, 2, 2, 2, 2, 2, 1, 1, 5, 1, 1, 1, 11
Dario Franceschini, 6, 2, 1, 1, 1, 2, 2, 13, 8, 2, 8, 7
Luca Sofri, 3, 2, 2, 1, 3, 1, 1, 1, 3, 3, 3, 6
Alessandro Perissinotto, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Sonia Peronaci, 1, 1, 2, 1, 1, 1, 1, 3, 6, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2
Anna Masera, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2
Beppe Severgnini, 6, 1, 1, 1, 2, 1, 1, 2, 2, 4, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
