participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Francesco Piccolo, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Beppe Severgnini, 1, 1, 1, 1, 4, 16, 18, 10, 21, 13, 7, 5
Anna Masera, 1, 7, 3, 1, 1, 4, 1, 2, 5, 2, 3, 3
Massimo Mantellini, 7, 5, 2, 4, 4, 1, 1, 1, 3, 3, 1, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 6, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Arianna Ciccone, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Bruno Tognolini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 5, 5, 5, 5, 5, 5, 5, 2, 2, 2, 2, 2
Marino Sinibaldi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
