participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Arianna Ciccone, 0, 0, 0, 0, 0, 5, 1, 1, 1, 1, 1, 14
Beppe Severgnini, 0, 0, 0, 0, 2, 2, 7, 2, 2, 3, 6, 6
Dario Franceschini, 0, 0, 0, 0, 26, 23, 9, 4, 10, 15, 15, 4
Andrea Iannuzzi, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3
Massimo Mantellini, 0, 0, 0, 0, 3, 1, 1, 5, 1, 3, 3, 3
Luca Sofri, 0, 0, 0, 0, 5, 5, 5, 18, 30, 5, 6, 2
Pietrangelo Buttafuoco, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1
Massimiliano Panarari, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
Samuele Bersani, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1
