participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Arianna Ciccone, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 10
Massimiliano Panarari, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Luca Sofri, 6, 6, 3, 6, 2, 3, 2, 3, 3, 3, 6, 7
Beppe Severgnini, 1, 1, 1, 3, 3, 4, 4, 2, 5, 5, 5, 5
Massimo Mantellini, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5
Alessandro Perissinotto, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4
Anna Masera, 1, 1, 6, 1, 1, 3, 1, 7, 7, 7, 1, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2
Bruno Tognolini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
