participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 2, 2, 2, 1, 1, 1, 1, 1, 5, 6, 6, 6
Marino Sinibaldi, 2, 2, 2, 2, 16, 6, 10, 4, 8, 10, 3, 4
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Bruno Tognolini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Mauro Tedeschini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
