participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 26, 23, 15, 13, 17, 15, 6, 2, 9, 11, 5, 7
Marino Sinibaldi, 1, 1, 1, 1, 10, 4, 5, 5, 5, 2, 2, 7
Beppe Severgnini, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 5
Massimo Mantellini, 1, 1, 3, 3, 3, 3, 1, 2, 1, 1, 1, 4
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Anna Masera, 1, 2, 2, 2, 2, 6, 1, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
