participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 2, 2, 1, 1, 3, 5, 5, 5, 5, 5, 2, 12
Alessandro Perissinotto, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Beppe Severgnini, 3, 1, 1, 1, 8, 8, 8, 5, 12, 5, 4, 4
Massimo Mantellini, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 3, 4
Sonia Peronaci, 2, 2, 2, 1, 1, 2, 2, 8, 7, 8, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Carofiglio, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
