participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 9
Sonia Peronaci, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
Anna Masera, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Arianna Ciccone, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
Beppe Severgnini, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 2
Daria Bignardi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Luca Sofri, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
Massimo Mantellini, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2
Samuele Bersani, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
Alberto Tessore, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
