participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 6, 1, 2, 1, 2, 3, 4, 5, 3, 4, 2, 5
Alessandro Perissinotto, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Sonia Peronaci, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2
Andrea Iannuzzi, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Marino Sinibaldi, 4, 5, 3, 3, 3, 4, 3, 3, 3, 3, 2, 2
Massimiliano Panarari, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
