participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Alessandro Perissinotto, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Carofiglio, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Marino Sinibaldi, 2, 2, 2, 2, 3, 6, 2, 2, 2, 2, 2, 2
Massimiliano Panarari, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2
Mauro Tedeschini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Samuele Bersani, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2
Silvia Ballestra, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
