participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Massimiliano Panarari, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Beppe Severgnini, 2, 2, 2, 2, 4, 1, 1, 1, 1, 3, 3, 4
Anna Masera, 2, 2, 1, 1, 1, 1, 1, 1, 6, 1, 1, 3
Luca Sofri, 1, 1, 1, 1, 1, 6, 6, 6, 3, 6, 2, 3
Massimo Mantellini, 1, 1, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Arianna Ciccone, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Bruno Tognolini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Dario Franceschini, 5, 6, 5, 4, 7, 5, 1, 1, 2, 1, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
