participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Dario Franceschini, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 6
Arianna Ciccone, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4
Beppe Severgnini, 1, 1, 1, 1, 1, 3, 7, 3, 4, 1, 1, 3
Luca Sofri, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Bruno Tognolini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Enrico Mentana, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Fulvio Ervas, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2
