participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Luca Sofri, 5, 3, 1, 8, 1, 1, 3, 4, 1, 1, 1, 5
Dario Franceschini, 8, 10, 14, 14, 11, 13, 6, 1, 2, 6, 5, 4
Anna Masera, 2, 2, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3
Marino Sinibaldi, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3
Walter Passerini, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Aldo Cazzullo, 2, 2, 2, 2, 2, 5, 1, 1, 1, 1, 2, 2
Alessandro Perissinotto, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2
Arianna Ciccone, 4, 4, 4, 1, 1, 2, 5, 3, 3, 3, 3, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
