participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 2829939300000
Aldo Cazzullo, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5
Beppe Severgnini, 3, 3, 1, 1, 1, 1, 10, 9, 7, 10, 6, 5
Massimo Mantellini, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4
Luca Sofri, 2, 1, 1, 3, 3, 3, 1, 2, 1, 2, 2, 3
Walter Passerini, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
Alberto Tessore, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Alessandro Perissinotto, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
David Riondino, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Francesco Piccolo, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
Marino Sinibaldi, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 2, 2
