ht,htSum
FLA2014,2672
Ayotzinapa,615
LiveOn4G,592
Fla2014,447
informazione,232
anci2014,225
LIVEon4G,193
liveon4g,154
bersagliomobile,137
italianoolvida,129
scrittura,107
Internet,90
IlTestimone,89
BersaglioMobile,88
Mentana,85
