participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415202206207
Dario Franceschini, 0, 0, 0, 0, 0, 0, 34, 156, 92, 241, 229, 162
Luca Sofri, 0, 0, 0, 0, 0, 0, 38, 69, 114, 268, 172, 225
Beppe Severgnini, 0, 0, 0, 0, 0, 0, 79, 53, 197, 200, 127, 97
Sonia Peronaci, 0, 0, 0, 0, 0, 0, 40, 28, 98, 56, 120, 48
Arianna Ciccone, 0, 0, 0, 0, 0, 0, 0, 21, 21, 49, 98, 42
Massimo Mantellini, 0, 0, 0, 0, 0, 0, 24, 38, 77, 13, 13, 13
Anna Masera, 0, 0, 0, 0, 0, 0, 10, 41, 24, 24, 24, 24
Samuele Bersani, 0, 0, 0, 0, 0, 0, 0, 24, 32, 31, 31, 22
Pietrangelo Buttafuoco, 0, 0, 0, 0, 0, 0, 19, 24, 24, 24, 24, 24
Daria Bignardi, 0, 0, 0, 0, 0, 0, 0, 0, 34, 34, 16, 16
