participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415310206276
Dario Franceschini, 285, 1290, 1261, 1040, 1221, 763, 485, 307, 451, 279, 265, 215
Luca Sofri, 235, 621, 565, 156, 275, 459, 467, 178, 528, 291, 141, 110
Beppe Severgnini, 99, 154, 231, 109, 307, 200, 136, 211, 208, 91, 38, 47
Massimo Mantellini, 31, 99, 252, 34, 27, 77, 81, 98, 234, 369, 49, 12
Sonia Peronaci, 36, 103, 114, 56, 43, 43, 8, 60, 82, 52, 39, 33
Arianna Ciccone, 10, 10, 10, 16, 20, 67, 101, 90, 50, 62, 53, 53
Anna Masera, 22, 22, 22, 22, 22, 22, 22, 33, 47, 76, 70, 33
Andrea Iannuzzi, 20, 20, 20, 20, 20, 32, 32, 32, 32, 41, 24, 24
Enrico Mentana, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 40, 132
Pietrangelo Buttafuoco, 30, 30, 30, 30, 17, 14, 14, 14, 19, 19, 19, 19
