participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415303006295
Dario Franceschini, 90, 69, 285, 1290, 1261, 1040, 1221, 763, 485, 307, 451, 279
Luca Sofri, 38, 10, 235, 621, 565, 156, 275, 459, 467, 178, 528, 291
Beppe Severgnini, 133, 125, 99, 154, 231, 109, 307, 200, 136, 211, 208, 91
Massimo Mantellini, 173, 89, 31, 99, 252, 34, 27, 77, 81, 98, 234, 369
Sonia Peronaci, 8, 13, 36, 103, 114, 56, 43, 43, 8, 60, 82, 52
Arianna Ciccone, 10, 10, 10, 10, 10, 16, 20, 67, 101, 90, 50, 62
Anna Masera, 39, 22, 22, 22, 22, 22, 22, 22, 22, 33, 47, 76
Andrea Iannuzzi, 30, 20, 20, 20, 20, 20, 20, 32, 32, 32, 32, 41
Aldo Cazzullo, 19, 35, 30, 30, 30, 30, 30, 30, 5, 5, 5, 5
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
