participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415263406180
Dario Franceschini, 255, 128, 220, 138, 115, 73, 90, 16, 16, 16, 46, 90
Beppe Severgnini, 113, 93, 51, 54, 88, 36, 36, 36, 36, 20, 135, 133
Massimo Mantellini, 127, 46, 73, 149, 68, 28, 12, 1, 1, 1, 106, 173
Luca Sofri, 65, 126, 41, 41, 28, 69, 7, 7, 19, 38, 46, 38
Silvia Ballestra, 203, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Pietrangelo Buttafuoco, 24, 43, 42, 42, 42, 42, 42, 42, 8, 18, 18, 6
Andrea Iannuzzi, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30
Anna Masera, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 1, 39
Marino Sinibaldi, 16, 16, 6, 6, 21, 34, 34, 34, 34, 34, 14, 12
Aldo Cazzullo, 27, 27, 27, 27, 27, 27, 8, 8, 8, 8, 8, 19
