participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415544206267
Dario Franceschini, 18, 4, 9, 9, 4, 105, 193, 215, 118, 299, 267, 103
Mauro Tedeschini, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72
Beppe Severgnini, 15, 8, 5, 38, 142, 92, 46, 103, 148, 55, 48, 50
Massimo Mantellini, 19, 7, 7, 7, 1, 31, 141, 191, 125, 44, 36, 65
Luca Sofri, 46, 26, 26, 26, 26, 53, 95, 73, 56, 58, 42, 88
Massimiliano Panarari, 70, 70, 70, 70, 4, 36, 35, 44, 40, 46, 46, 46
Anna Masera, 33, 33, 33, 33, 11, 51, 38, 17, 76, 72, 72, 59
Walter Passerini, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31
Arianna Ciccone, 46, 46, 46, 16, 23, 23, 23, 23, 30, 30, 30, 30
Samuele Bersani, 5, 2, 11, 11, 11, 26, 77, 75, 29, 29, 29, 8
