participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415425406140
Luca Sofri, 116, 106, 97, 220, 190, 45, 94, 42, 1, 1, 1, 1
Anna Masera, 119, 112, 89, 181, 158, 30, 24, 24, 24, 24, 24, 14
Massimo Mantellini, 58, 125, 125, 125, 125, 125, 19, 19, 19, 19, 19, 19
Massimiliano Panarari, 9, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70
Arianna Ciccone, 155, 148, 68, 119, 124, 32, 25, 25, 25, 25, 25, 1
Dario Franceschini, 164, 91, 63, 71, 196, 28, 14, 14, 14, 14, 14, 14
Romana Petri, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50
Enrico Mentana, 46, 46, 46, 57, 56, 49, 49, 49, 49, 49, 49, 49
Andrea Iannuzzi, 77, 152, 84, 46, 49, 49, 49, 4, 20, 20, 20, 1
Beppe Severgnini, 60, 60, 83, 86, 44, 24, 24, 28, 28, 28, 28, 18
