participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415483006331
Luca Sofri, 159, 240, 213, 195, 219, 252, 333, 231, 131, 137, 120, 74
Dario Franceschini, 87, 85, 94, 69, 253, 518, 240, 127, 201, 172, 85, 73
Beppe Severgnini, 78, 87, 143, 126, 141, 84, 61, 69, 48, 318, 623, 216
Massimo Mantellini, 322, 78, 54, 92, 43, 66, 66, 94, 246, 86, 66, 93
Anna Masera, 20, 54, 126, 90, 42, 37, 84, 63, 110, 102, 137, 61
Massimiliano Panarari, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70
Enrico Mentana, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 23
Arianna Ciccone, 80, 41, 100, 33, 14, 14, 46, 46, 46, 46, 46, 46
Samuele Bersani, 38, 55, 55, 55, 55, 55, 55, 49, 30, 25, 27, 27
Mauro Tedeschini, 0, 0, 0, 0, 0, 49, 72, 72, 72, 72, 72, 72
