participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415252606137
Dario Franceschini, 159, 139, 181, 255, 128, 220, 138, 115, 73, 90, 16, 16
Beppe Severgnini, 89, 89, 89, 113, 93, 51, 54, 88, 36, 36, 36, 36
Luca Sofri, 80, 126, 33, 65, 126, 41, 41, 28, 69, 7, 7, 19
Massimo Mantellini, 13, 38, 14, 127, 46, 73, 149, 68, 28, 12, 1, 1
Anna Masera, 71, 94, 36, 30, 30, 30, 30, 30, 30, 30, 30, 30
Silvia Ballestra, 32, 32, 19, 203, 21, 21, 21, 21, 21, 21, 21, 21
Pietrangelo Buttafuoco, 24, 24, 24, 24, 43, 42, 42, 42, 42, 42, 42, 8
Andrea Iannuzzi, 39, 16, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30
Sonia Peronaci, 47, 46, 14, 26, 22, 22, 15, 33, 29, 6, 20, 20
Marino Sinibaldi, 27, 16, 16, 16, 16, 6, 6, 21, 34, 34, 34, 34
