participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415353406233
Luca Sofri, 91, 107, 168, 61, 19, 11, 6, 7, 2, 70, 397, 365
Dario Franceschini, 150, 177, 71, 21, 21, 21, 21, 8, 18, 59, 151, 91
Massimo Mantellini, 12, 48, 38, 38, 4, 9, 9, 9, 9, 9, 218, 238
Sonia Peronaci, 44, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34
Beppe Severgnini, 35, 88, 28, 20, 19, 19, 19, 19, 27, 58, 13, 38
Andrea Iannuzzi, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24
Enrico Mentana, 32, 38, 28, 28, 24, 25, 2, 2, 2, 24, 24, 11
Fulvio Ervas, 15, 15, 10, 10, 10, 10, 10, 10, 45, 35, 35, 35
Romana Petri, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20
Pietrangelo Buttafuoco, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19
