lat,long
43.27219,17.054353
45.799014,15.891676
44.248719,15.136926
45.79896,15.891532
45.799043,15.891774
46.153155,16.336228
45.79906,15.891612
42.444578,14.205156
45.799052,15.891727
45.799045,15.891718
46.154005,15.665542
45.799117,15.891816
45.799044,15.891718
45.812671,15.976857
45.799085,15.891771
45.799012,15.891674
45.799012,15.891539
45.799098,15.891827
45.546661,18.712449
45.790843,15.976453
45.799048,15.891721
45.807937,15.972126
45.54674,18.712415
45.799073,15.891757
45.799073,15.89175
45.79918,15.891963
42.465089,14.213055
44.8755,15.248392
45.546602,18.71252
45.799011,15.89167
46.393398,16.667639
45.799034,15.891647
42.663593,18.083134
45.767939,15.997127
45.813477,15.983855
45.799752,15.891708
45.799117,15.891816
45.812078,15.976073
45.799011,15.89167
45.546566,18.712446
44.130424,15.215296
45.799094,15.891824
45.079238,15.431447
45.799104,15.89176
45.799015,15.891677
45.799047,15.891721
45.799098,15.891764
45.79903,15.891672
46.153159,16.336232
42.460662,14.216818
45.799054,15.891596
45.327374,14.439261
45.812936,15.964892
45.470664,18.839517
45.546661,18.712449
45.792739,15.997932
45.799085,15.891694
45.808438,15.980422
45.824097,16.126201
45.799178,15.89186
45.799098,15.891764
45.81844,15.879384
45.799126,15.891826
43.508227,16.437094
45.799146,15.891815
46.153156,16.336248
45.54669,18.712332
45.798904,15.891582
45.799102,15.891839
45.799055,15.891597
44.130424,15.215297
45.799098,15.891764
45.799106,15.891834
45.799119,15.89179
45.799014,15.891677
45.799094,15.891823
45.799034,15.891647
45.81339,15.983818
44.516038,11.128926
45.798922,15.89164
45.798973,15.891496
43.272199,17.054397
42.444664,14.202864
45.799085,15.891771
45.799048,15.891721
45.546583,18.712456
45.079237,15.431448
45.799117,15.891784
45.546927,18.712204
45.799157,15.891871
42.460513,14.216702
45.799034,15.891647
45.799102,15.891839
45.799015,15.891678
45.798981,15.891548
45.799117,15.891816
46.153155,16.336252
46.153152,16.336287
45.798966,15.891605
45.562167,18.667562
42.495615,14.12903
45.799054,15.891596
42.461155,14.21183
45.799055,15.891597
45.798966,15.891605
45.799068,15.891625
45.799106,15.891834
45.66977,16.518373
45.799054,15.891596
45.829246,16.012312
45.799106,15.891801
45.799146,15.891815
46.153152,16.336288
45.799098,15.891761
43.27219,17.054353
45.493212,16.766778
45.523795,18.624203
45.798811,15.891299
45.809809,15.993993
45.799014,15.891676
43.508227,16.437094
45.781464,15.954798
42.460586,14.216688
45.799136,15.891839
42.424999,14.283244
43.508534,16.450516
45.546604,18.712531
45.546704,18.712435
45.799018,15.891676
45.799044,15.891718
45.799098,15.891827
45.799117,15.891816
45.809779,15.993949
45.801031,15.979748
45.799034,15.891648
45.799082,15.899281
45.799023,15.891801
44.130424,15.215296
44.130424,15.215296
45.546646,18.712462
45.799145,15.891869
45.799043,15.891774
45.799033,15.891646
45.798807,15.891671
45.799034,15.891649
45.81982,15.989033
45.799054,15.891597
45.56218,18.667401
45.799014,15.891676
45.799014,15.891676
42.470353,14.20861
45.799054,15.891597
45.811217,15.972681
45.799054,15.891733
45.809809,15.993993
42.444578,14.205156
45.798963,15.891526
44.130424,15.215298
45.798932,15.891531
42.444664,14.202864
43.272245,17.05426
45.799032,15.891803
45.669772,16.518371
45.798904,15.891582
42.466117,14.209726
45.799034,15.891647
45.799045,15.891718
45.799073,15.89175
45.799034,15.891647
45.814687,15.871893
45.079238,15.431447
45.799474,15.891396
45.799106,15.891834
45.799013,15.891677
45.799046,15.891721
45.798904,15.891582
45.079238,15.431447
45.799111,15.891856
46.368075,16.414428
45.798973,15.891496
45.713488,16.073774
45.799085,15.891771
45.770984,15.939774
45.079238,15.431447
45.799156,15.891869
45.562179,18.667405
45.798902,15.891581
45.799033,15.891646
45.79898,15.891522
46.153115,16.336239
43.272192,17.054303
45.799085,15.891771
45.079239,15.431447
45.799178,15.89186
45.799145,15.891869
45.799054,15.891597
45.799046,15.891722
45.079238,15.431448
45.819936,15.995568
45.801031,15.979748
42.460646,14.216758
45.79915,15.891858
42.477369,14.197276
45.307258,14.208969
45.799013,15.891674
43.272192,17.054303
45.072179,14.073394
45.072179,14.073394
45.732074,16.059973
45.079238,15.431447
43.272192,17.054347
45.799094,15.891824
45.799047,15.891721
45.799012,15.891539
45.809809,15.993993
45.79913,15.891849
45.799059,15.891806
45.818678,15.863661
45.799102,15.891839
45.806792,15.981701
45.799073,15.89175
45.799045,15.891718
45.799044,15.891718
42.495451,14.129066
45.770322,15.940003
45.799036,15.891681
45.794147,15.935134
42.510649,14.155682
45.799033,15.891647
45.79913,15.891849
45.546742,18.712411
45.590442,18.509462
43.956308,15.635725
45.799098,15.891827
45.79915,15.891858
45.799094,15.891824
45.814608,16.009844
45.554829,18.697221
43.723537,15.908298
45.799013,15.891676
45.799098,15.891764
45.794352,15.959774
42.412052,14.182552
45.813366,15.983832
45.159193,18.015099
45.562179,18.667405
45.799073,15.89175
45.799023,15.891801
45.799046,15.891721
42.465085,14.213022
45.799106,15.891834
42.460506,14.216701
43.272208,17.054276
45.799052,15.891727
45.809809,15.993993
45.79914,15.891845
46.140572,15.896226
45.799102,15.891759
45.799036,15.891681
45.799098,15.891827
42.477369,14.197276
43.956307,15.635724
45.546622,18.712432
42.466105,14.209751
45.828899,16.097944
45.54674,18.712415
45.799066,15.8916
45.799011,15.891838
45.546661,18.712449
45.799047,15.891721
42.461129,14.21182
46.393398,16.667639
46.15316,16.336216
45.799052,15.891727
46.153108,16.336173
42.477369,14.197276
44.13044,15.215253
45.799014,15.891676
45.509418,11.467836
45.799064,15.891627
45.799107,15.89185
45.799111,15.89183
45.807013,15.966303
45.079238,15.431448
45.799117,15.891816
43.440612,16.678066
45.799034,15.891647
42.466105,14.209751
46.253115,15.956731
45.799107,15.89185
45.79898,15.891522
45.797331,15.71347
42.466105,14.209751
45.799098,15.891827
