participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415488406195
Beppe Severgnini, 150, 123, 89, 62, 37, 28, 41, 38, 41, 40, 34, 31
Luca Sofri, 25, 25, 29, 14, 16, 15, 12, 12, 14, 16, 18, 32
Dario Franceschini, 15, 15, 10, 16, 24, 23, 28, 24, 16, 12, 18, 15
Anna Masera, 36, 31, 21, 18, 13, 9, 16, 17, 15, 15, 10, 3
Massimo Mantellini, 16, 24, 24, 20, 28, 21, 19, 16, 9, 3, 3, 4
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Enrico Mentana, 6, 6, 3, 6, 6, 8, 10, 9, 17, 18, 15, 15
Massimiliano Panarari, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Andrea Iannuzzi, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
