participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415220206331
Dario Franceschini, 52, 43, 44, 42, 45, 63, 83, 64, 53, 38, 9, 28
Silvia Ballestra, 6, 6, 6, 18, 42, 57, 57, 47, 21, 21, 21, 21
Luca Sofri, 8, 10, 9, 6, 13, 16, 12, 24, 33, 31, 32, 30
Beppe Severgnini, 3, 3, 3, 8, 22, 27, 32, 32, 26, 20, 25, 22
Massimo Mantellini, 9, 3, 3, 7, 21, 33, 36, 37, 24, 9, 6, 7
Anna Masera, 9, 9, 9, 9, 9, 10, 6, 5, 5, 5, 5, 5
Sonia Peronaci, 11, 11, 3, 3, 3, 3, 10, 10, 9, 9, 4, 4
Andrea Iannuzzi, 6, 10, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6
Aldo Cazzullo, 6, 6, 6, 6, 6, 8, 9, 7, 6, 4, 4, 4
Arianna Ciccone, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3
