participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415221106164
Dario Franceschini, 43, 44, 42, 45, 63, 83, 64, 53, 38, 9, 28, 53
Silvia Ballestra, 6, 6, 18, 42, 57, 57, 47, 21, 21, 21, 21, 21
Beppe Severgnini, 3, 3, 8, 22, 27, 32, 32, 26, 20, 25, 22, 21
Luca Sofri, 10, 9, 6, 13, 16, 12, 24, 33, 31, 32, 30, 17
Massimo Mantellini, 3, 3, 7, 21, 33, 36, 37, 24, 9, 6, 7, 12
Anna Masera, 9, 9, 9, 9, 10, 6, 5, 5, 5, 5, 5, 5
Andrea Iannuzzi, 10, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Pietrangelo Buttafuoco, 2, 2, 2, 2, 2, 2, 2, 2, 8, 17, 18, 18
Sonia Peronaci, 11, 3, 3, 3, 3, 10, 10, 9, 9, 4, 4, 4
Aldo Cazzullo, 6, 6, 6, 6, 8, 9, 7, 6, 4, 4, 4, 4
