participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415411906131
Massimiliano Panarari, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Luca Sofri, 9, 8, 6, 22, 24, 24, 24, 15, 9, 9, 9, 1
Enrico Mentana, 16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Daria Bignardi, 9, 3, 3, 17, 18, 16, 15, 10, 6, 6, 6, 6
Aldo Cazzullo, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Sonia Peronaci, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Anna Masera, 10, 10, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6
Dario Franceschini, 16, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Samuele Bersani, 3, 3, 3, 3, 10, 13, 15, 15, 8, 3, 3, 3
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
