participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415538806154
Dario Franceschini, 50, 54, 47, 32, 20, 19, 56, 70, 80, 93, 71, 67
Beppe Severgnini, 33, 43, 43, 43, 34, 28, 23, 11, 13, 8, 6, 12
Massimo Mantellini, 51, 50, 52, 36, 16, 21, 17, 12, 10, 5, 8, 10
Anna Masera, 7, 9, 12, 15, 25, 24, 27, 25, 12, 8, 8, 8
Luca Sofri, 17, 12, 11, 13, 17, 15, 21, 17, 11, 9, 5, 7
Massimiliano Panarari, 12, 11, 8, 8, 14, 18, 18, 18, 10, 10, 10, 10
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Sonia Peronaci, 9, 7, 6, 6, 5, 5, 5, 5, 7, 20, 22, 24
Samuele Bersani, 21, 21, 17, 6, 6, 6, 6, 6, 6, 6, 5, 3
Enrico Mentana, 4, 4, 4, 3, 9, 13, 17, 18, 14, 6, 6, 6
