participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415310206183
Dario Franceschini, 105, 76, 59, 39, 46, 62, 77, 80, 73, 56, 42, 44
Luca Sofri, 104, 76, 68, 43, 33, 39, 33, 36, 38, 27, 23, 22
Massimo Mantellini, 107, 102, 96, 64, 28, 9, 7, 5, 5, 3, 3, 3
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 3, 3
Enrico Mentana, 3, 3, 3, 3, 3, 3, 15, 25, 39, 39, 33, 21
Beppe Severgnini, 41, 31, 16, 16, 10, 10, 9, 9, 12, 11, 12, 12
Anna Masera, 13, 19, 24, 20, 21, 19, 13, 17, 13, 6, 6, 8
Marino Sinibaldi, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Arianna Ciccone, 10, 13, 20, 19, 18, 18, 11, 6, 6, 6, 6, 6
Sonia Peronaci, 21, 17, 8, 6, 9, 9, 9, 12, 9, 6, 6, 12
