participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415502806131
Luca Sofri, 11, 10, 20, 18, 18, 17, 15, 5, 4, 9, 13, 12
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Massimiliano Panarari, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Dario Franceschini, 8, 9, 11, 13, 8, 7, 9, 3, 3, 3, 3, 3
Anna Masera, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Alberto Tessore, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Arianna Ciccone, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Bruno Tognolini, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
