participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415227406302
Dario Franceschini, 53, 38, 9, 28, 53, 57, 58, 52, 33, 33, 39, 33
Massimo Mantellini, 24, 9, 6, 7, 12, 17, 20, 24, 31, 38, 39, 41
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Beppe Severgnini, 26, 20, 25, 22, 21, 14, 9, 7, 7, 9, 16, 22
Luca Sofri, 33, 31, 32, 30, 17, 11, 8, 5, 3, 3, 3, 3
Pietrangelo Buttafuoco, 2, 8, 17, 18, 18, 14, 7, 3, 3, 3, 1, 1
Samuele Bersani, 4, 10, 12, 9, 9, 7, 6, 6, 6, 9, 6, 8
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 4, 4, 6, 6, 6, 9, 6, 6, 6, 6, 6, 6
Sonia Peronaci, 9, 9, 4, 4, 4, 4, 4, 4, 4, 3, 6, 6
