participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415322806134
Luca Sofri, 23, 29, 23, 23, 29, 32, 43, 52, 38, 35, 24, 13
Dario Franceschini, 36, 46, 48, 44, 45, 40, 25, 18, 15, 13, 9, 6
Beppe Severgnini, 6, 15, 20, 25, 22, 21, 16, 6, 5, 1, 1, 4
Massimo Mantellini, 3, 3, 5, 11, 14, 18, 18, 11, 9, 9, 9, 9
Marino Sinibaldi, 12, 12, 12, 12, 6, 6, 6, 6, 6, 6, 6, 6
Enrico Mentana, 8, 7, 9, 9, 9, 11, 9, 9, 6, 4, 4, 4
Samuele Bersani, 19, 20, 16, 12, 5, 1, 1, 3, 3, 3, 3, 3
Sonia Peronaci, 12, 8, 7, 9, 9, 9, 5, 5, 5, 5, 5, 5
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
