participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415480306173
Beppe Severgnini, 9, 12, 9, 15, 58, 105, 140, 176, 174, 150, 123, 89
Dario Franceschini, 54, 54, 54, 54, 36, 39, 43, 31, 24, 15, 15, 10
Luca Sofri, 38, 31, 29, 32, 35, 36, 34, 36, 34, 25, 25, 29
Massimo Mantellini, 69, 57, 58, 40, 21, 16, 9, 12, 14, 16, 24, 24
Anna Masera, 27, 35, 37, 34, 26, 19, 23, 35, 35, 36, 31, 21
David Riondino, 17, 17, 17, 17, 17, 17, 17, 17, 6, 6, 6, 6
Silvia Ballestra, 3, 3, 7, 18, 23, 24, 25, 12, 9, 8, 8, 6
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Andrea Iannuzzi, 18, 18, 6, 11, 15, 9, 9, 8, 8, 8, 8, 8
Francesco Piccolo, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10
