participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415233706146
Dario Franceschini, 52, 33, 33, 39, 33, 31, 29, 27, 28, 18, 17, 20
Massimo Mantellini, 24, 31, 38, 39, 41, 28, 17, 13, 10, 9, 9, 8
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Beppe Severgnini, 7, 7, 9, 16, 22, 21, 24, 23, 20, 15, 11, 8
Luca Sofri, 5, 3, 3, 3, 3, 3, 3, 6, 16, 18, 20, 20
Sonia Peronaci, 4, 4, 3, 6, 6, 7, 7, 9, 10, 12, 9, 5
Marino Sinibaldi, 3, 3, 3, 3, 3, 3, 3, 8, 12, 12, 12, 8
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Samuele Bersani, 6, 6, 9, 6, 8, 9, 8, 3, 3, 3, 3, 3
