participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415402006147
Luca Sofri, 29, 35, 55, 59, 54, 52, 59, 45, 43, 43, 22, 9
Anna Masera, 29, 30, 39, 54, 45, 43, 54, 38, 33, 33, 20, 10
Dario Franceschini, 19, 21, 21, 14, 13, 23, 52, 55, 50, 39, 16, 16
Arianna Ciccone, 23, 18, 27, 33, 28, 31, 36, 31, 30, 27, 17, 9
Massimiliano Panarari, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Beppe Severgnini, 24, 21, 21, 19, 23, 23, 21, 15, 7, 1, 6, 6
Daria Bignardi, 4, 4, 16, 27, 27, 27, 29, 9, 9, 9, 9, 9
Enrico Mentana, 11, 11, 12, 15, 15, 15, 9, 11, 15, 21, 21, 16
Andrea Iannuzzi, 24, 19, 17, 14, 14, 8, 13, 12, 12, 12, 6, 6
Aldo Cazzullo, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
