participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415214806170
Dario Franceschini, 40, 22, 25, 32, 33, 49, 52, 43, 44, 42, 45, 63
Luca Sofri, 17, 28, 36, 34, 33, 23, 8, 10, 9, 6, 13, 16
Anna Masera, 21, 29, 32, 26, 19, 17, 9, 9, 9, 9, 9, 10
Silvia Ballestra, 6, 6, 6, 6, 6, 6, 6, 6, 6, 18, 42, 57
Beppe Severgnini, 27, 17, 9, 3, 3, 3, 3, 3, 3, 8, 22, 27
Massimo Mantellini, 3, 5, 9, 9, 11, 9, 9, 3, 3, 7, 21, 33
Sonia Peronaci, 12, 18, 18, 15, 11, 11, 11, 11, 3, 3, 3, 3
Andrea Iannuzzi, 10, 6, 4, 4, 6, 6, 6, 10, 8, 6, 6, 6
Aldo Cazzullo, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8
Arianna Ciccone, 10, 6, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6
