participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415323706133
Luca Sofri, 29, 23, 23, 29, 32, 43, 52, 38, 35, 24, 13, 12
Dario Franceschini, 46, 48, 44, 45, 40, 25, 18, 15, 13, 9, 6, 6
Beppe Severgnini, 15, 20, 25, 22, 21, 16, 6, 5, 1, 1, 4, 7
Massimo Mantellini, 3, 5, 11, 14, 18, 18, 11, 9, 9, 9, 9, 9
Marino Sinibaldi, 12, 12, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6
Enrico Mentana, 7, 9, 9, 9, 11, 9, 9, 6, 4, 4, 4, 4
Sonia Peronaci, 8, 7, 9, 9, 9, 5, 5, 5, 5, 5, 5, 5
Samuele Bersani, 20, 16, 12, 5, 1, 1, 3, 3, 3, 3, 3, 3
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
