participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415545106163
Dario Franceschini, 70, 80, 93, 71, 67, 70, 59, 43, 31, 15, 14, 15
Luca Sofri, 17, 11, 9, 5, 7, 15, 15, 16, 22, 23, 27, 34
Anna Masera, 25, 12, 8, 8, 8, 8, 5, 3, 12, 22, 22, 25
Beppe Severgnini, 11, 13, 8, 6, 12, 15, 15, 15, 14, 9, 12, 19
Massimo Mantellini, 12, 10, 5, 8, 10, 9, 9, 9, 14, 21, 21, 18
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Enrico Mentana, 18, 14, 6, 6, 6, 9, 9, 9, 10, 12, 14, 18
Massimiliano Panarari, 18, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10
Sonia Peronaci, 5, 7, 20, 22, 24, 18, 6, 3, 2, 3, 3, 4
Aldo Cazzullo, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
