participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415370506157
Dario Franceschini, 72, 60, 48, 49, 37, 21, 36, 86, 108, 125, 155, 117
Luca Sofri, 73, 73, 77, 67, 38, 28, 18, 16, 15, 19, 41, 41
Massimo Mantellini, 24, 26, 23, 29, 23, 24, 21, 13, 12, 10, 14, 13
Beppe Severgnini, 11, 16, 21, 26, 20, 19, 18, 13, 11, 7, 15, 15
Pietrangelo Buttafuoco, 6, 6, 6, 6, 7, 12, 14, 15, 13, 7, 5, 3
Enrico Mentana, 7, 6, 10, 9, 9, 7, 7, 7, 7, 7, 7, 7
Sonia Peronaci, 11, 11, 7, 10, 15, 13, 9, 6, 1, 1, 1, 1
David Riondino, 12, 11, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
