participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415487506206
Beppe Severgnini, 174, 150, 123, 89, 62, 37, 28, 41, 38, 41, 40, 34
Anna Masera, 35, 36, 31, 21, 18, 13, 9, 16, 17, 15, 15, 10
Luca Sofri, 34, 25, 25, 29, 14, 16, 15, 12, 12, 14, 16, 18
Dario Franceschini, 24, 15, 15, 10, 16, 24, 23, 28, 24, 16, 12, 18
Massimo Mantellini, 14, 16, 24, 24, 20, 28, 21, 19, 16, 9, 3, 3
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Enrico Mentana, 6, 6, 6, 3, 6, 6, 8, 10, 9, 17, 18, 15
Massimiliano Panarari, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Andrea Iannuzzi, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Francesco Piccolo, 10, 10, 10, 10, 10, 10, 10, 6, 6, 6, 4, 4
