participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415483906172
Beppe Severgnini, 58, 105, 140, 176, 174, 150, 123, 89, 62, 37, 28, 41
Luca Sofri, 35, 36, 34, 36, 34, 25, 25, 29, 14, 16, 15, 12
Dario Franceschini, 36, 39, 43, 31, 24, 15, 15, 10, 16, 24, 23, 28
Anna Masera, 26, 19, 23, 35, 35, 36, 31, 21, 18, 13, 9, 16
Massimo Mantellini, 21, 16, 9, 12, 14, 16, 24, 24, 20, 28, 21, 19
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Silvia Ballestra, 23, 24, 25, 12, 9, 8, 8, 6, 6, 8, 6, 6
David Riondino, 17, 17, 17, 17, 6, 6, 6, 6, 6, 6, 6, 6
Francesco Piccolo, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6
Massimiliano Panarari, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
