participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415277806321
Dario Franceschini, 23, 40, 63, 159, 251, 321, 364, 354, 355, 323, 294, 289
Luca Sofri, 12, 57, 79, 87, 108, 163, 151, 199, 215, 159, 120, 71
Beppe Severgnini, 24, 26, 24, 25, 27, 39, 42, 46, 70, 56, 48, 57
Massimo Mantellini, 9, 9, 7, 7, 8, 14, 24, 53, 78, 71, 63, 40
Sonia Peronaci, 8, 6, 9, 13, 14, 23, 30, 36, 35, 30, 28, 21
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Marino Sinibaldi, 6, 6, 6, 6, 8, 12, 12, 12, 12, 12, 12, 12
Aldo Cazzullo, 12, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Pietrangelo Buttafuoco, 6, 9, 9, 6, 6, 6, 6, 6, 6, 6, 6, 3
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
