participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415224706166
Dario Franceschini, 63, 83, 64, 53, 38, 9, 28, 53, 57, 58, 52, 33
Silvia Ballestra, 57, 57, 47, 21, 21, 21, 21, 21, 21, 21, 21, 21
Massimo Mantellini, 33, 36, 37, 24, 9, 6, 7, 12, 17, 20, 24, 31
Beppe Severgnini, 27, 32, 32, 26, 20, 25, 22, 21, 14, 9, 7, 7
Luca Sofri, 16, 12, 24, 33, 31, 32, 30, 17, 11, 8, 5, 3
Pietrangelo Buttafuoco, 2, 2, 2, 2, 8, 17, 18, 18, 14, 7, 3, 3
Samuele Bersani, 3, 3, 3, 4, 10, 12, 9, 9, 7, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Sonia Peronaci, 3, 10, 10, 9, 9, 4, 4, 4, 4, 4, 4, 4
Anna Masera, 10, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
