participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415240906131
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Dario Franceschini, 28, 18, 17, 20, 18, 21, 27, 23, 19, 12, 4, 4
Luca Sofri, 16, 18, 20, 20, 11, 5, 2, 2, 2, 2, 2, 2
Massimiliano Panarari, 10, 9, 9, 7, 7, 7, 7, 7, 7, 7, 7, 7
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Sonia Peronaci, 10, 12, 9, 5, 3, 3, 3, 3, 6, 6, 6, 6
Beppe Severgnini, 20, 15, 11, 8, 2, 2, 2, 2, 2, 2, 2, 2
Anna Masera, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
Marino Sinibaldi, 12, 12, 12, 8, 2, 2, 2, 2, 2, 2, 2, 2
